Timestamp_sec,Throttle,Brake,Steer,AccX,AccY,AccZ,Distance_km,TrafficSignal
0.000,0.0,0.0,0.00,0.230,-0.260,-9.410,0.00000,0
0.010,0.0,0.0,0.00,0.200,-0.300,-9.390,0.00000,0
0.020,0.0,0.0,0.00,0.250,-0.330,-9.470,0.00000,0
0.031,0.0,0.0,0.00,0.240,-0.340,-9.340,0.00000,0
0.041,0.0,0.0,0.00,0.310,-0.350,-9.420,0.00000,0
0.051,0.0,0.0,0.00,0.260,-0.340,-9.500,0.00000,0
0.061,0.0,0.0,0.00,0.260,-0.310,-9.490,0.00000,0
0.071,0.0,0.0,0.00,0.240,-0.320,-9.380,0.00000,0
0.082,0.0,0.0,0.00,0.210,-0.260,-9.400,0.00000,0
0.092,0.0,0.0,0.00,0.220,-0.330,-9.400,0.00000,0
0.102,0.0,0.0,0.00,0.250,-0.300,-9.400,0.00000,0
0.112,0.0,0.0,0.00,0.250,-0.340,-9.440,0.00000,0
0.122,0.0,0.0,0.00,0.280,-0.340,-9.460,0.00000,0
0.132,0.0,0.0,0.00,0.220,-0.290,-9.460,0.00000,0
0.142,0.0,0.0,0.00,0.280,-0.340,-9.370,0.00000,0
0.153,0.0,0.0,0.00,0.240,-0.330,-9.350,0.00000,0
0.163,0.0,0.0,0.00,0.290,-0.290,-9.400,0.00000,0
0.173,0.0,0.0,0.00,0.230,-0.320,-9.460,0.00000,0
0.183,0.0,0.0,0.00,0.250,-0.330,-9.470,0.00000,0
0.193,0.0,0.0,0.00,0.220,-0.310,-9.430,0.00000,0
0.203,0.0,0.0,0.00,0.250,-0.310,-9.400,0.00000,0
0.214,0.0,0.0,0.00,0.260,-0.320,-9.360,0.00000,0
0.224,0.0,0.0,0.00,0.220,-0.310,-9.440,0.00000,0
0.236,0.0,0.0,0.00,0.260,-0.310,-9.440,0.00000,0
0.246,0.0,0.0,0.00,0.230,-0.320,-9.460,0.00000,0
0.256,0.0,0.0,0.00,0.260,-0.370,-9.480,0.00000,0
0.266,0.0,0.0,0.00,0.230,-0.310,-9.440,0.00000,0
0.277,0.0,0.2,0.04,0.250,-0.300,-9.360,0.00000,0
0.287,0.0,0.2,0.04,0.230,-0.330,-9.370,0.00000,0
0.297,0.0,0.0,0.00,0.240,-0.340,-9.430,0.00000,0
0.307,0.0,0.0,0.00,0.260,-0.310,-9.450,0.00000,0
0.317,0.0,0.0,0.00,0.290,-0.330,-9.420,0.00000,0
0.327,0.0,0.0,0.00,0.220,-0.320,-9.430,0.00000,0
0.338,0.0,0.0,0.00,0.250,-0.310,-9.400,0.00000,0
0.349,0.0,0.0,0.00,0.190,-0.350,-9.450,0.00000,0
0.359,0.0,0.0,0.00,0.260,-0.370,-9.430,0.00000,0
0.369,0.0,0.0,0.00,0.260,-0.320,-9.450,0.00000,0
0.380,0.0,0.0,0.00,0.240,-0.270,-9.440,0.00000,0
0.391,0.0,0.0,0.00,0.230,-0.330,-9.370,0.00000,0
0.402,0.0,0.0,0.00,0.210,-0.310,-9.400,0.00000,0
0.412,0.0,0.0,0.00,0.240,-0.310,-9.460,0.00000,0
0.422,0.0,0.0,0.00,0.240,-0.350,-9.510,0.00000,0
0.432,0.0,0.0,0.00,0.230,-0.340,-9.400,0.00000,0
0.442,0.0,0.0,0.00,0.230,-0.340,-9.440,0.00000,0
0.452,0.0,0.0,0.00,0.210,-0.320,-9.390,0.00000,0
0.462,0.0,0.0,0.00,0.260,-0.350,-9.460,0.00000,0
0.473,0.0,0.0,0.00,0.220,-0.330,-9.440,0.00000,0
0.483,0.0,0.0,0.00,0.240,-0.330,-9.350,0.00000,0
0.493,0.0,0.0,0.00,0.250,-0.320,-9.420,0.00000,0
0.503,0.0,0.0,0.00,0.240,-0.330,-9.440,0.00000,0
0.513,0.0,0.0,0.00,0.260,-0.300,-9.420,0.00000,0
0.523,0.0,0.0,0.00,0.220,-0.290,-9.440,0.00000,0
0.534,0.0,0.0,0.00,0.240,-0.350,-9.360,0.00000,0
0.544,0.0,0.0,0.00,0.220,-0.330,-9.420,0.00000,0
0.554,0.0,0.0,0.00,0.230,-0.310,-9.360,0.00000,0
0.564,0.0,0.0,0.00,0.220,-0.280,-9.390,0.00000,0
0.574,0.0,0.0,0.00,0.220,-0.350,-9.450,0.00000,0
0.584,0.0,0.0,0.00,0.230,-0.360,-9.460,0.00000,0
0.595,0.0,0.0,0.00,0.220,-0.360,-9.400,0.00000,0
0.605,0.0,0.0,0.00,0.200,-0.330,-9.420,0.00000,0
0.615,0.0,0.0,0.00,0.240,-0.310,-9.370,0.00000,0
0.625,0.0,0.0,0.00,0.250,-0.290,-9.390,0.00000,0
0.637,0.0,0.0,0.00,0.250,-0.280,-9.420,0.00000,0
0.647,0.0,0.0,0.00,0.230,-0.340,-9.430,0.00000,0
0.657,0.0,0.0,0.00,0.270,-0.290,-9.470,0.00000,0
0.667,0.0,0.0,0.00,0.280,-0.350,-9.400,0.00000,0
0.678,0.0,0.0,0.00,0.230,-0.290,-9.400,0.00000,0
0.688,0.0,0.0,0.00,0.270,-0.350,-9.390,0.00000,0
0.698,0.0,0.0,0.00,0.260,-0.340,-9.480,0.00000,0
0.708,0.0,0.0,0.00,0.230,-0.370,-9.430,0.00000,0
0.718,0.0,0.0,0.00,0.230,-0.310,-9.400,0.00000,0
0.729,0.0,0.0,0.00,0.230,-0.290,-9.420,0.00000,0
0.739,0.0,0.0,0.00,0.250,-0.290,-9.430,0.00000,0
0.749,0.0,0.0,0.00,0.280,-0.290,-9.450,0.00000,0
0.759,0.0,0.0,0.00,0.220,-0.350,-9.400,0.00000,0
0.770,0.0,0.0,0.00,0.290,-0.330,-9.420,0.00000,0
0.780,0.0,0.0,0.00,0.290,-0.330,-9.420,0.00000,0
0.790,0.0,0.0,0.00,0.290,-0.330,-9.430,0.00000,0
0.800,0.0,0.0,0.00,0.260,-0.340,-9.390,0.00000,0
0.811,0.0,0.0,0.00,0.220,-0.320,-9.420,0.00000,0
0.821,0.0,0.0,0.00,0.220,-0.320,-9.420,0.00000,0
0.831,0.0,0.0,0.00,0.260,-0.310,-9.480,0.00000,0
0.843,0.0,0.0,0.00,0.240,-0.290,-9.440,0.00000,0
0.854,0.0,0.2,0.04,0.200,-0.330,-9.400,0.00000,0
0.864,0.0,0.0,0.00,0.270,-0.310,-9.340,0.00000,0
0.874,0.0,0.0,0.00,0.240,-0.310,-9.400,0.00000,0
0.884,0.0,0.0,0.00,0.210,-0.280,-9.450,0.00000,0
0.894,0.0,0.0,0.00,0.240,-0.360,-9.400,0.00000,0
0.904,0.0,0.0,0.00,0.250,-0.330,-9.390,0.00000,0
0.915,0.0,0.0,0.00,0.250,-0.300,-9.390,0.00000,0
0.925,0.0,0.0,0.00,0.250,-0.340,-9.410,0.00000,0
0.935,0.0,0.0,0.00,0.220,-0.310,-9.420,0.00000,0
0.945,0.0,0.0,0.00,0.230,-0.340,-9.450,0.00000,0
0.955,0.0,0.0,0.00,0.230,-0.340,-9.450,0.00000,0
0.966,0.0,0.0,0.00,0.240,-0.310,-9.390,0.00000,0
0.976,0.0,0.0,0.00,0.220,-0.360,-9.410,0.00000,0
0.987,0.0,0.0,0.00,0.290,-0.320,-9.370,0.00000,0
0.997,0.0,0.0,0.00,0.290,-0.320,-9.370,0.00000,0
1.008,0.0,0.0,0.00,0.210,-0.320,-9.410,0.00000,0
1.018,0.0,0.0,0.00,0.250,-0.330,-9.410,0.00000,0
1.028,0.0,0.0,0.00,0.250,-0.310,-9.400,0.00000,0
1.038,0.0,0.0,0.00,0.220,-0.310,-9.430,0.00000,0
1.048,0.0,0.0,0.00,0.240,-0.340,-9.360,0.00000,0
1.059,0.0,0.0,0.00,0.280,-0.360,-9.440,0.00000,0
1.069,0.0,0.0,0.00,0.240,-0.340,-9.400,0.00000,0
