Timestamp_sec,Throttle,Brake,Steer,AccX,AccY,AccZ,Distance_km,TrafficSignal
0.000,0.0,0.0,0.00,-0.330,0.250,-9.400,0.00000,0
0.010,0.0,0.0,0.00,-0.280,0.220,-9.440,0.00000,0
0.020,0.0,0.0,0.00,-0.280,0.240,-9.470,0.00000,0
0.031,0.0,0.0,0.00,-0.280,0.250,-9.410,0.00000,0
0.041,0.0,0.0,0.00,-0.300,0.280,-9.470,0.00000,0
0.051,0.0,0.0,0.00,-0.300,0.280,-9.470,0.00000,0
0.061,0.0,0.0,0.00,-0.270,0.220,-9.390,0.00000,0
0.071,0.0,0.0,0.00,-0.310,0.250,-9.420,0.00000,0
0.082,0.0,0.0,0.00,-0.300,0.250,-9.430,0.00000,0
0.092,0.0,0.0,0.00,-0.290,0.250,-9.460,0.00000,0
0.102,0.0,0.0,0.00,-0.280,0.220,-9.390,0.00000,0
0.112,0.0,0.0,0.00,-0.280,0.280,-9.410,0.00000,0
0.122,0.0,0.0,0.00,-0.290,0.220,-9.450,0.00000,0
0.133,0.0,0.0,0.00,-0.330,0.270,-9.460,0.00000,0
0.143,0.0,0.0,0.00,-0.300,0.250,-9.460,0.00000,0
0.153,0.0,0.0,0.00,-0.280,0.260,-9.360,0.00000,0
0.163,0.0,0.0,0.00,-0.280,0.250,-9.390,0.00000,0
0.174,0.0,0.2,0.04,-0.270,0.230,-9.430,0.00000,0
0.185,0.0,0.2,0.04,-0.270,0.230,-9.430,0.00000,0
0.195,0.0,0.0,0.00,-0.270,0.270,-9.430,0.00000,0
0.205,0.0,0.0,0.00,-0.290,0.230,-9.450,0.00000,0
0.216,0.0,0.0,0.00,-0.260,0.210,-9.420,0.00000,0
0.226,0.0,0.0,0.00,-0.260,0.260,-9.420,0.00000,0
0.236,0.0,0.0,0.00,-0.300,0.230,-9.340,0.00000,0
0.247,0.0,0.0,0.00,-0.350,0.210,-9.330,0.00000,0
0.257,0.0,0.0,0.00,-0.330,0.280,-9.380,0.00000,0
0.268,0.0,0.0,0.00,-0.290,0.220,-9.380,0.00000,0
0.279,0.0,0.0,0.00,-0.330,0.240,-9.460,0.00000,0
0.289,0.0,0.0,0.00,-0.290,0.230,-9.400,0.00000,0
0.299,0.0,0.0,0.00,-0.290,0.240,-9.440,0.00000,0
0.309,0.0,0.0,0.00,-0.260,0.240,-9.400,0.00000,0
0.320,0.0,0.0,0.00,-0.290,0.250,-9.400,0.00000,0
0.330,0.0,0.0,0.00,-0.310,0.230,-9.460,0.00000,0
0.341,0.0,0.0,0.00,-0.310,0.240,-9.400,0.00000,0
0.351,0.0,0.0,0.00,-0.260,0.230,-9.460,0.00000,0
0.362,0.0,0.0,0.00,-0.280,0.280,-9.430,0.00000,0
0.372,0.0,0.0,0.00,-0.300,0.220,-9.430,0.00000,0
0.382,0.0,0.0,0.00,-0.300,0.210,-9.400,0.00000,0
0.392,0.0,0.2,0.04,-0.290,0.270,-9.420,0.00000,0
0.402,0.0,0.2,0.04,-0.310,0.260,-9.490,0.00000,0
0.413,0.0,0.0,0.00,-0.330,0.250,-9.430,0.00000,0
0.423,0.0,0.0,0.00,-0.250,0.230,-9.420,0.00000,0
0.434,0.0,0.0,0.00,-0.250,0.260,-9.440,0.00000,0
0.444,0.0,0.0,0.00,-0.270,0.240,-9.350,0.00000,0
0.454,0.0,0.0,0.00,-0.280,0.280,-9.390,0.00000,0
0.465,0.0,0.0,0.00,-0.290,0.240,-9.460,0.00000,0
