Timestamp_sec,Throttle,Brake,Steer,AccX,AccY,AccZ,Distance_km,TrafficSignal
0.000,0.0,0.0,0.00,-0.250,0.260,-9.450,0.00000,0
0.010,0.0,0.0,0.00,-0.260,0.250,-9.430,0.00000,0
0.021,0.0,0.0,0.00,-0.270,0.270,-9.380,0.00000,0
0.031,0.0,0.0,0.00,-0.260,0.290,-9.480,0.00000,0
0.042,0.0,0.0,0.00,-0.320,0.310,-9.430,0.00000,0
0.052,0.0,0.0,0.00,-0.280,0.310,-9.420,0.00000,0
0.062,0.0,0.0,0.00,-0.270,0.300,-9.340,0.00000,0
0.073,0.0,0.0,0.00,-0.300,0.330,-9.460,0.00000,0
0.084,0.0,0.0,0.00,-0.300,0.280,-9.370,0.00000,0
0.094,0.0,0.0,0.00,-0.280,0.250,-9.340,0.00000,0
0.104,1.2,0.0,0.00,-0.300,0.280,-9.390,0.00000,0
0.114,1.2,0.0,0.00,-0.300,0.260,-9.440,0.00000,0
0.125,1.8,0.0,0.00,-0.270,0.290,-9.470,0.00000,0
0.136,1.8,0.0,0.00,-0.260,0.280,-9.440,0.00000,0
0.146,1.4,0.0,0.00,-0.300,0.290,-9.390,0.00000,0
0.157,1.4,0.0,0.00,-0.300,0.270,-9.340,0.00000,0
0.169,2.0,0.0,0.00,-0.280,0.300,-9.370,0.00000,0
0.179,2.0,0.0,0.00,-0.270,0.280,-9.400,0.00000,0
0.189,1.4,0.0,0.00,-0.270,0.220,-9.470,0.00000,0
0.199,1.4,0.0,0.00,-0.260,0.300,-9.420,0.00000,0
0.210,1.6,0.0,0.00,-0.270,0.290,-9.470,0.00000,0
0.220,1.6,0.0,0.00,-0.270,0.260,-9.380,0.00000,0
0.231,1.6,0.0,0.00,-0.250,0.280,-9.440,0.00000,0
0.241,1.6,0.0,0.00,-0.250,0.250,-9.420,0.00000,0
0.253,1.6,0.0,0.00,-0.280,0.260,-9.430,0.00000,0
0.264,1.4,0.0,0.00,-0.280,0.290,-9.420,0.00000,0
0.275,1.4,0.0,0.00,-0.290,0.290,-9.380,0.00000,0
0.285,1.6,0.0,0.00,-0.320,0.280,-9.420,0.00000,0
0.309,1.6,0.0,0.00,-0.280,0.250,-9.400,0.00000,0
0.320,1.8,0.0,0.00,-0.240,0.260,-9.400,0.00000,0
0.330,1.6,0.0,0.00,-0.240,0.280,-9.490,0.00000,0
