Timestamp_sec,Throttle,Brake,Steer,AccX,AccY,AccZ,Distance_km,TrafficSignal
66.849,0.0,0.0,0.00,0.360,-0.280,-9.370,0.00000,0
66.859,0.0,0.0,0.00,0.360,-0.290,-9.400,0.00000,0
66.869,0.0,0.0,0.00,0.340,-0.320,-9.510,0.00000,0
66.882,0.0,0.0,0.00,0.320,-0.290,-9.380,0.00000,0
66.893,0.0,0.0,0.00,0.280,-0.310,-9.320,0.00000,0
66.903,0.0,0.0,0.00,0.300,-0.320,-9.350,0.00000,0
66.913,0.0,0.0,0.00,0.310,-0.310,-9.440,0.00000,0
66.923,0.0,0.0,0.00,0.330,-0.310,-9.340,0.00000,0
66.934,0.0,0.0,0.00,0.340,-0.330,-9.330,0.00000,0
66.944,0.0,0.0,0.00,0.340,-0.320,-9.420,0.00000,0
66.957,0.0,0.0,0.00,0.330,-0.320,-9.410,0.00000,0
66.967,0.0,0.0,0.00,0.300,-0.310,-9.490,0.00000,0
66.977,0.0,0.0,0.00,0.300,-0.330,-9.390,0.00000,0
66.988,0.0,0.0,0.00,0.290,-0.330,-9.370,0.00000,0
66.999,0.0,0.0,0.00,0.320,-0.320,-9.390,0.00000,0
67.009,0.0,0.0,0.00,0.320,-0.320,-9.390,0.00000,0
67.019,0.0,0.0,0.00,0.330,-0.280,-9.440,0.00000,0
67.030,0.0,0.0,0.00,0.350,-0.300,-9.440,0.00000,0
67.041,0.0,0.2,0.04,0.300,-0.290,-9.330,0.00000,0
67.055,0.0,0.2,0.04,0.340,-0.320,-9.390,0.00000,0
67.065,0.0,0.0,0.00,0.330,-0.270,-9.360,0.00000,0
67.075,0.0,0.0,0.00,0.310,-0.320,-9.400,0.00000,0
67.086,0.0,0.0,0.00,0.330,-0.310,-9.440,0.00000,0
67.096,0.0,0.0,0.00,0.360,-0.310,-9.390,0.00000,0
67.106,0.0,0.0,0.00,0.320,-0.290,-9.390,0.00000,0
67.116,0.0,0.0,0.00,0.330,-0.280,-9.350,0.00000,0
67.127,0.0,0.0,0.00,0.340,-0.290,-9.360,0.00000,0
67.138,0.0,0.0,0.00,0.310,-0.300,-9.410,0.00000,0
67.150,0.0,0.0,0.00,0.340,-0.280,-9.340,0.00000,0
67.161,0.0,0.0,0.00,0.270,-0.310,-9.330,0.00000,0
67.173,0.0,0.0,0.00,0.340,-0.320,-9.370,0.00000,0
67.183,0.0,0.0,0.00,0.310,-0.320,-9.470,0.00000,0
67.194,0.0,0.0,0.00,0.350,-0.310,-9.400,0.00000,0
67.205,0.0,0.0,0.00,0.350,-0.260,-9.380,0.00000,0
