Timestamp_sec,Throttle,Brake,Steer,AccX,AccY,AccZ,Distance_km,TrafficSignal
0.000,0.0,0.0,0.00,0.310,-0.270,-9.400,0.00000,0
0.010,0.0,0.0,0.00,0.270,-0.270,-9.400,0.00000,0
0.020,0.0,0.0,0.00,0.340,-0.250,-9.350,0.00000,0
0.031,0.0,0.0,0.00,0.330,-0.230,-9.370,0.00000,0
0.041,0.0,0.0,0.00,0.320,-0.260,-9.370,0.00000,0
0.052,0.0,0.0,0.00,0.300,-0.240,-9.380,0.00000,0
0.062,0.0,0.0,0.00,0.330,-0.260,-9.400,0.00000,0
0.073,0.0,0.0,0.00,0.310,-0.280,-9.380,0.00000,0
0.083,0.0,0.0,0.00,0.340,-0.250,-9.360,0.00000,0
0.093,0.0,0.0,0.00,0.350,-0.250,-9.390,0.00000,0
0.103,0.0,0.0,0.00,0.320,-0.270,-9.430,0.00000,0
0.113,0.0,0.0,0.00,0.310,-0.240,-9.400,0.00000,0
0.124,0.0,0.0,0.00,0.330,-0.290,-9.410,0.00000,0
0.134,0.0,0.0,0.00,0.290,-0.290,-9.390,0.00000,0
0.144,0.0,0.0,0.00,0.290,-0.270,-9.410,0.00000,0
0.154,0.0,0.0,0.00,0.330,-0.230,-9.390,0.00000,0
0.164,0.0,0.0,0.00,0.350,-0.260,-9.380,0.00000,0
0.175,0.0,0.0,0.00,0.320,-0.300,-9.410,0.00000,0
0.185,0.0,0.0,0.00,0.310,-0.230,-9.400,0.00000,0
0.195,0.0,0.0,0.00,0.320,-0.240,-9.330,0.00000,0
0.205,0.0,0.0,0.00,0.320,-0.250,-9.330,0.00000,0
0.217,0.0,0.0,0.00,0.320,-0.240,-9.360,0.00000,0
0.227,0.0,0.0,0.00,0.290,-0.280,-9.380,0.00000,0
0.238,0.0,0.0,0.00,0.300,-0.220,-9.450,0.00000,0
0.248,0.0,0.0,0.00,0.330,-0.260,-9.390,0.00000,0
0.258,0.0,0.0,0.00,0.320,-0.270,-9.400,0.00000,0
0.268,0.0,0.0,0.00,0.360,-0.250,-9.340,0.00000,0
0.278,0.0,0.0,0.00,0.330,-0.270,-9.370,0.00000,0
0.289,0.0,0.0,0.00,0.350,-0.240,-9.460,0.00000,0
0.299,0.0,0.2,0.04,0.360,-0.260,-9.440,0.00000,0
0.309,0.0,0.2,0.04,0.320,-0.250,-9.410,0.00000,0
0.319,0.0,0.0,0.00,0.300,-0.260,-9.400,0.00000,0
0.329,0.0,0.0,0.00,0.310,-0.240,-9.340,0.00000,0
0.340,0.0,0.0,0.00,0.310,-0.280,-9.370,0.00000,0
0.350,0.0,0.0,0.00,0.290,-0.250,-9.400,0.00000,0
0.360,0.0,0.0,0.00,0.270,-0.270,-9.450,0.00000,0
0.370,0.0,0.0,0.00,0.300,-0.240,-9.420,0.00000,0
0.381,0.0,0.0,0.00,0.310,-0.240,-9.470,0.00000,0
0.391,0.0,0.0,0.00,0.330,-0.230,-9.370,0.00000,0
0.401,0.0,0.0,0.00,0.310,-0.230,-9.400,0.00000,0
0.411,0.0,0.0,0.00,0.320,-0.270,-9.380,0.00000,0
0.421,0.0,0.0,0.00,0.300,-0.260,-9.400,0.00000,0
0.432,0.0,0.0,0.00,0.300,-0.260,-9.410,0.00000,0
0.442,0.0,0.0,0.00,0.340,-0.260,-9.410,0.00000,0
0.452,0.0,0.0,0.00,0.310,-0.260,-9.400,0.00000,0
0.462,0.0,0.0,0.00,0.320,-0.250,-9.400,0.00000,0
0.472,0.0,0.0,0.00,0.330,-0.230,-9.390,0.00000,0
0.483,0.0,0.0,0.00,0.290,-0.290,-9.520,0.00000,0
0.493,0.0,0.0,0.00,0.310,-0.280,-9.430,0.00000,0
0.503,0.0,0.0,0.00,0.330,-0.250,-9.370,0.00000,0
0.513,0.0,0.0,0.00,0.310,-0.280,-9.410,0.00000,0
0.523,0.0,0.0,0.00,0.300,-0.240,-9.380,0.00000,0
0.533,0.0,0.0,0.00,0.330,-0.250,-9.330,0.00000,0
0.544,0.0,0.0,0.00,0.310,-0.280,-9.400,0.00000,0
0.554,0.0,0.0,0.00,0.340,-0.240,-9.400,0.00000,0
0.564,0.0,0.0,0.00,0.340,-0.270,-9.340,0.00000,0
0.574,0.0,0.0,0.00,0.320,-0.270,-9.330,0.00000,0
0.584,0.0,0.0,0.00,0.310,-0.240,-9.380,0.00000,0
0.594,0.0,0.0,0.00,0.310,-0.260,-9.390,0.00000,0
0.604,0.0,0.0,0.00,0.320,-0.260,-9.400,0.00000,0
0.615,0.0,0.0,0.00,0.310,-0.230,-9.410,0.00000,0
0.625,0.0,0.0,0.00,0.310,-0.240,-9.400,0.00000,0
0.636,0.0,0.2,0.04,0.320,-0.220,-9.370,0.00000,0
0.646,0.0,0.2,0.04,0.350,-0.250,-9.390,0.00000,0
0.656,0.0,0.0,0.00,0.340,-0.260,-9.380,0.00000,0
0.667,0.0,0.0,0.00,0.330,-0.260,-9.390,0.00000,0
0.677,0.0,0.0,0.00,0.320,-0.270,-9.410,0.00000,0
0.688,0.0,0.0,0.00,0.300,-0.240,-9.470,0.00000,0
0.698,0.0,0.0,0.00,0.300,-0.250,-9.490,0.00000,0
0.708,0.0,0.0,0.00,0.310,-0.230,-9.340,0.00000,0
0.718,0.0,0.0,0.00,0.300,-0.260,-9.400,0.00000,0
0.729,0.0,0.0,0.00,0.300,-0.250,-9.400,0.00000,0
0.739,0.0,0.0,0.00,0.310,-0.260,-9.370,0.00000,0
0.749,0.0,0.0,0.00,0.330,-0.300,-9.450,0.00000,0
0.760,0.0,0.0,0.00,0.310,-0.270,-9.390,0.00000,0
0.770,0.0,0.0,0.00,0.340,-0.230,-9.310,0.00000,0
0.780,0.0,0.0,0.00,0.360,-0.270,-9.430,0.00000,0
0.790,0.0,0.0,0.00,0.320,-0.270,-9.400,0.00000,0
0.800,0.0,0.0,0.00,0.330,-0.300,-9.400,0.00000,0
0.810,0.0,0.0,0.00,0.320,-0.230,-9.360,0.00000,0
0.821,0.0,0.0,0.00,0.330,-0.270,-9.360,0.00000,0
0.831,0.0,0.0,0.00,0.320,-0.260,-9.340,0.00000,0
0.841,0.0,0.0,0.00,0.310,-0.270,-9.430,0.00000,0
0.851,0.0,0.0,0.00,0.310,-0.250,-9.420,0.00000,0
0.861,0.0,0.0,0.00,0.310,-0.230,-9.450,0.00000,0
0.872,0.0,0.0,0.00,0.300,-0.210,-9.400,0.00000,0
0.882,0.0,0.0,0.00,0.340,-0.220,-9.440,0.00000,0
0.892,0.0,0.0,0.00,0.310,-0.250,-9.370,0.00000,0
0.902,0.0,0.0,0.00,0.340,-0.270,-9.400,0.00000,0
0.912,0.0,0.0,0.00,0.310,-0.280,-9.390,0.00000,0
0.922,0.0,0.0,0.00,0.350,-0.250,-9.390,0.00000,0
0.933,0.0,0.0,0.00,0.310,-0.250,-9.400,0.00000,0
0.943,0.0,0.0,0.00,0.310,-0.250,-9.400,0.00000,0
0.953,0.0,0.0,0.00,0.320,-0.230,-9.440,0.00000,0
0.963,0.0,0.0,0.00,0.300,-0.270,-9.430,0.00000,0
0.973,0.0,0.0,0.00,0.280,-0.260,-9.460,0.00000,0
0.984,0.0,0.2,0.04,0.310,-0.270,-9.380,0.00000,0
0.994,0.0,0.0,0.00,0.320,-0.270,-9.470,0.00000,0
1.004,0.0,0.0,0.00,0.330,-0.280,-9.370,0.00000,0
1.014,0.0,0.0,0.00,0.330,-0.280,-9.370,0.00000,0
1.024,0.0,0.0,0.00,0.320,-0.260,-9.410,0.00000,0
1.036,0.0,0.0,0.00,0.330,-0.230,-9.470,0.00000,0
1.048,0.0,0.0,0.00,0.330,-0.310,-9.360,0.00000,0
1.058,0.0,0.0,0.00,0.330,-0.240,-9.350,0.00000,0
1.071,0.0,0.0,0.00,0.310,-0.230,-9.400,0.00000,0
1.082,0.0,0.0,0.00,0.310,-0.230,-9.400,0.00000,0
1.092,0.0,0.0,0.00,0.330,-0.250,-9.400,0.00000,0
1.102,0.0,0.0,0.00,0.330,-0.230,-9.360,0.00000,0
1.112,0.0,0.0,0.00,0.290,-0.250,-9.380,0.00000,0
1.122,0.0,0.0,0.00,0.330,-0.260,-9.450,0.00000,0
1.133,0.0,0.0,0.00,0.350,-0.240,-9.410,0.00000,0
1.143,0.0,0.0,0.00,0.320,-0.280,-9.420,0.00000,0
1.153,0.0,0.0,0.00,0.340,-0.260,-9.410,0.00000,0
1.163,0.0,0.0,0.00,0.310,-0.260,-9.460,0.00000,0
1.174,0.0,0.0,0.00,0.290,-0.270,-9.360,0.00000,0
1.184,0.0,0.0,0.00,0.320,-0.250,-9.430,0.00000,0
1.194,0.0,0.0,0.00,0.330,-0.260,-9.370,0.00000,0
1.204,0.0,0.0,0.00,0.330,-0.260,-9.370,0.00000,0
1.215,0.0,0.0,0.00,0.320,-0.260,-9.420,0.00000,0
1.225,0.0,0.0,0.00,0.310,-0.260,-9.360,0.00000,0
1.235,0.0,0.0,0.00,0.300,-0.240,-9.350,0.00000,0
1.245,0.0,0.0,0.00,0.330,-0.290,-9.430,0.00000,0
1.255,0.0,0.0,0.00,0.330,-0.230,-9.380,0.00000,0
1.266,0.0,0.0,0.00,0.350,-0.280,-9.480,0.00000,0
1.276,0.0,0.0,0.00,0.350,-0.230,-9.370,0.00000,0
1.286,0.0,0.0,0.00,0.290,-0.230,-9.370,0.00000,0
1.296,0.0,0.0,0.00,0.330,-0.230,-9.330,0.00000,0
1.306,0.0,0.0,0.00,0.340,-0.290,-9.440,0.00000,0
1.316,0.0,0.0,0.00,0.320,-0.290,-9.420,0.00000,0
1.327,0.0,0.2,0.04,0.320,-0.250,-9.400,0.00000,0
1.337,0.0,0.2,0.04,0.320,-0.250,-9.380,0.00000,0
1.347,0.0,0.0,0.00,0.320,-0.270,-9.380,0.00000,0
1.358,0.0,0.0,0.00,0.270,-0.240,-9.430,0.00000,0
1.368,0.0,0.0,0.00,0.310,-0.230,-9.420,0.00000,0
1.379,0.0,0.0,0.00,0.330,-0.320,-9.420,0.00000,0
1.389,0.0,0.0,0.00,0.330,-0.290,-9.440,0.00000,0
1.399,0.0,0.0,0.00,0.330,-0.240,-9.410,0.00000,0
1.409,0.0,0.0,0.00,0.350,-0.280,-9.400,0.00000,0
1.421,0.0,0.0,0.00,0.320,-0.250,-9.380,0.00000,0
1.431,0.0,0.0,0.00,0.310,-0.270,-9.350,0.00000,0
1.441,0.0,0.0,0.00,0.320,-0.280,-9.400,0.00000,0
1.451,0.0,0.0,0.00,0.300,-0.250,-9.340,0.00000,0
1.462,0.0,0.0,0.00,0.330,-0.290,-9.380,0.00000,0
1.472,0.0,0.0,0.00,0.320,-0.260,-9.320,0.00000,0
1.482,0.0,0.0,0.00,0.330,-0.250,-9.410,0.00000,0
1.492,0.0,0.0,0.00,0.290,-0.240,-9.420,0.00000,0
1.502,0.0,0.0,0.00,0.360,-0.250,-9.490,0.00000,0
1.512,0.0,0.0,0.00,0.330,-0.260,-9.400,0.00000,0
1.523,0.0,0.0,0.00,0.330,-0.260,-9.360,0.00000,0
1.533,0.0,0.0,0.00,0.330,-0.270,-9.390,0.00000,0
1.543,0.0,0.0,0.00,0.350,-0.250,-9.430,0.00000,0
1.554,0.0,0.0,0.00,0.330,-0.280,-9.470,0.00000,0
1.564,0.0,0.0,0.00,0.320,-0.270,-9.450,0.00000,0
1.574,0.0,0.0,0.00,0.290,-0.260,-9.380,0.00000,0
1.584,0.0,0.0,0.00,0.330,-0.270,-9.380,0.00000,0
1.594,0.0,0.0,0.00,0.310,-0.260,-9.380,0.00000,0
1.604,0.0,0.0,0.00,0.310,-0.220,-9.360,0.00000,0
1.615,0.0,0.0,0.00,0.310,-0.260,-9.440,0.00000,0
1.625,0.0,0.0,0.00,0.350,-0.240,-9.430,0.00000,0
1.635,0.0,0.0,0.00,0.330,-0.240,-9.420,0.00000,0
1.645,0.0,0.0,0.00,0.320,-0.250,-9.450,0.00000,0
1.655,0.0,0.0,0.00,0.330,-0.230,-9.410,0.00000,0
1.665,0.0,0.2,0.04,0.290,-0.230,-9.340,0.00000,0
1.676,0.0,0.2,0.04,0.330,-0.260,-9.410,0.00000,0
1.687,0.0,0.0,0.00,0.320,-0.290,-9.420,0.00000,0
1.697,0.0,0.0,0.00,0.350,-0.270,-9.430,0.00000,0
1.707,0.0,0.0,0.00,0.350,-0.280,-9.360,0.00000,0
1.717,0.0,0.0,0.00,0.360,-0.230,-9.340,0.00000,0
