Timestamp_sec,Throttle,Brake,Steer,AccX,AccY,AccZ,Distance_km,TrafficSignal
0.000,0.0,0.0,0.00,-0.250,0.340,-9.430,0.00000,0
0.010,0.0,0.0,0.00,-0.240,0.290,-9.410,0.00000,0
0.020,0.0,0.0,0.00,-0.270,0.320,-9.340,0.00000,0
0.030,0.0,0.0,0.00,-0.250,0.300,-9.320,0.00000,0
0.041,0.0,0.0,0.00,-0.270,0.310,-9.520,0.00000,0
0.051,0.0,0.0,0.00,-0.200,0.330,-9.430,0.00000,0
0.061,0.0,0.0,0.00,-0.250,0.280,-9.400,0.00000,0
0.071,0.0,0.0,0.00,-0.240,0.340,-9.420,0.00000,0
0.081,0.0,0.0,0.00,-0.250,0.360,-9.450,0.00000,0
0.091,0.0,0.0,0.00,-0.230,0.330,-9.400,0.00000,0
0.102,0.0,0.0,0.00,-0.270,0.330,-9.440,0.00000,0
0.112,0.0,0.0,0.00,-0.250,0.330,-9.470,0.00000,0
0.122,0.0,0.0,0.00,-0.200,0.330,-9.440,0.00000,0
0.132,0.0,0.0,0.00,-0.260,0.330,-9.400,0.00000,0
0.142,0.0,0.0,0.00,-0.260,0.340,-9.440,0.00000,0
0.152,0.0,0.0,0.00,-0.300,0.310,-9.410,0.00000,0
0.162,0.0,0.0,0.00,-0.210,0.310,-9.460,0.00000,0
0.173,0.0,0.0,0.00,-0.240,0.340,-9.430,0.00000,0
0.183,0.0,0.0,0.00,-0.220,0.330,-9.370,0.00000,0
0.193,0.0,0.0,0.00,-0.230,0.320,-9.380,0.00000,0
0.203,0.0,0.0,0.00,-0.240,0.320,-9.430,0.00000,0
0.213,0.0,0.0,0.00,-0.280,0.320,-9.470,0.00000,0
0.223,0.0,0.0,0.00,-0.270,0.290,-9.420,0.00000,0
0.233,0.0,0.0,0.00,-0.280,0.330,-9.390,0.00000,0
0.244,0.0,0.0,0.00,-0.220,0.360,-9.410,0.00000,0
0.254,0.0,0.0,0.00,-0.240,0.370,-9.470,0.00000,0
0.264,0.0,0.0,0.00,-0.230,0.330,-9.390,0.00000,0
0.274,0.0,0.0,0.00,-0.240,0.340,-9.380,0.00000,0
0.284,0.0,0.0,0.00,-0.240,0.310,-9.450,0.00000,0
0.294,0.0,0.0,0.00,-0.250,0.350,-9.460,0.00000,0
0.305,0.0,0.0,0.00,-0.260,0.360,-9.380,0.00000,0
0.315,0.0,0.0,0.00,-0.260,0.360,-9.410,0.00000,0
0.325,0.0,0.0,0.00,-0.230,0.330,-9.350,0.00000,0
