Timestamp_sec,Throttle,Brake,Steer,AccX,AccY,AccZ,Distance_km,TrafficSignal
0.000,0.0,0.0,0.00,-0.330,0.230,-9.430,0.00000,0
0.010,0.0,0.0,0.00,-0.290,0.280,-9.410,0.00000,0
0.021,0.0,0.0,0.00,-0.280,0.270,-9.430,0.00000,0
0.031,0.0,0.0,0.00,-0.280,0.260,-9.400,0.00000,0
0.042,0.0,0.0,0.00,-0.280,0.240,-9.420,0.00000,0
0.052,0.0,0.0,0.00,-0.320,0.280,-9.430,0.00000,0
0.062,0.0,0.0,0.00,-0.320,0.290,-9.450,0.00000,0
0.072,0.0,0.0,0.00,-0.330,0.300,-9.400,0.00000,0
0.082,0.0,0.0,0.00,-0.280,0.260,-9.420,0.00000,0
0.092,0.0,0.0,0.00,-0.320,0.260,-9.380,0.00000,0
0.103,0.0,0.0,0.00,-0.300,0.240,-9.390,0.00000,0
0.113,0.0,0.0,0.00,-0.310,0.240,-9.380,0.00000,0
0.123,0.0,0.0,0.00,-0.310,0.240,-9.440,0.00000,0
0.133,0.0,0.0,0.00,-0.260,0.230,-9.340,0.00000,0
0.143,0.0,0.0,0.00,-0.300,0.230,-9.350,0.00000,0
0.153,0.0,0.0,0.00,-0.280,0.310,-9.400,0.00000,0
0.163,0.0,0.0,0.00,-0.300,0.260,-9.450,0.00000,0
0.174,0.0,0.0,0.00,-0.300,0.270,-9.460,0.00000,0
0.184,0.0,0.0,0.00,-0.300,0.270,-9.430,0.00000,0
0.194,0.0,0.0,0.00,-0.270,0.240,-9.370,0.00000,0
0.204,0.0,0.0,0.00,-0.300,0.260,-9.360,0.00000,0
0.214,0.0,0.0,0.00,-0.300,0.240,-9.460,0.00000,0
0.224,0.0,0.0,0.00,-0.290,0.280,-9.350,0.00000,0
0.235,0.0,0.0,0.00,-0.290,0.220,-9.390,0.00000,0
0.245,0.0,0.0,0.00,-0.270,0.260,-9.400,0.00000,0
0.255,0.0,0.0,0.00,-0.320,0.260,-9.410,0.00000,0
0.265,0.0,0.0,0.00,-0.350,0.280,-9.410,0.00000,0
0.275,0.0,0.0,0.00,-0.320,0.270,-9.420,0.00000,0
0.286,0.0,0.0,0.00,-0.310,0.210,-9.390,0.00000,0
0.296,0.0,0.0,0.00,-0.320,0.230,-9.350,0.00000,0
0.307,0.0,0.0,0.00,-0.260,0.280,-9.400,0.00000,0
0.317,0.0,0.0,0.00,-0.290,0.270,-9.470,0.00000,0
0.327,0.0,0.2,0.04,-0.340,0.250,-9.440,0.00000,0
0.337,0.0,0.2,0.04,-0.310,0.280,-9.390,0.00000,0
0.347,0.0,0.0,0.00,-0.330,0.260,-9.410,0.00000,0
0.358,0.0,0.0,0.00,-0.270,0.250,-9.450,0.00000,0
0.368,0.0,0.0,0.00,-0.340,0.270,-9.480,0.00000,0
0.378,0.0,0.0,0.00,-0.310,0.270,-9.410,0.00000,0
0.388,0.0,0.0,0.00,-0.300,0.290,-9.360,0.00000,0
0.398,0.0,0.0,0.00,-0.290,0.270,-9.430,0.00000,0
0.408,0.0,0.0,0.00,-0.290,0.230,-9.410,0.00000,0
0.418,0.0,0.0,0.00,-0.300,0.250,-9.390,0.00000,0
0.429,0.0,0.0,0.00,-0.270,0.220,-9.470,0.00000,0
0.439,0.0,0.0,0.00,-0.280,0.260,-9.370,0.00000,0
0.449,0.0,0.0,0.00,-0.280,0.280,-9.440,0.00000,0
0.459,0.0,0.0,0.00,-0.320,0.270,-9.410,0.00000,0
0.469,0.0,0.0,0.00,-0.290,0.250,-9.390,0.00000,0
0.480,0.0,0.0,0.00,-0.310,0.220,-9.350,0.00000,0
0.490,0.0,0.0,0.00,-0.260,0.240,-9.420,0.00000,0
0.500,0.0,0.0,0.00,-0.340,0.270,-9.400,0.00000,0
0.510,0.0,0.0,0.00,-0.310,0.250,-9.360,0.00000,0
0.520,0.0,0.0,0.00,-0.320,0.240,-9.450,0.00000,0
0.531,0.0,0.0,0.00,-0.300,0.230,-9.350,0.00000,0
0.541,0.0,0.0,0.00,-0.270,0.230,-9.420,0.00000,0
0.551,0.0,0.0,0.00,-0.260,0.250,-9.370,0.00000,0
0.561,0.0,0.0,0.00,-0.280,0.250,-9.400,0.00000,0
0.571,0.0,0.0,0.00,-0.310,0.260,-9.360,0.00000,0
0.581,0.0,0.0,0.00,-0.310,0.250,-9.420,0.00000,0
0.592,0.0,0.0,0.00,-0.270,0.300,-9.420,0.00000,0
0.602,0.0,0.0,0.00,-0.280,0.290,-9.400,0.00000,0
0.612,0.0,0.0,0.00,-0.270,0.260,-9.420,0.00000,0
0.622,0.0,0.0,0.00,-0.330,0.280,-9.420,0.00000,0
0.632,0.0,0.0,0.00,-0.290,0.250,-9.420,0.00000,0
0.642,0.0,0.0,0.00,-0.250,0.260,-9.490,0.00000,0
0.653,0.0,0.0,0.00,-0.310,0.210,-9.430,0.00000,0
0.663,0.0,0.0,0.00,-0.320,0.270,-9.430,0.00000,0
0.673,0.0,0.0,0.00,-0.340,0.310,-9.350,0.00000,0
0.683,0.0,0.0,0.00,-0.320,0.250,-9.430,0.00000,0
0.693,0.0,0.0,0.00,-0.290,0.260,-9.400,0.00000,0
0.703,0.0,0.0,0.00,-0.300,0.220,-9.390,0.00000,0
0.713,0.0,0.0,0.00,-0.260,0.240,-9.490,0.00000,0
0.724,0.0,0.2,0.04,-0.260,0.260,-9.390,0.00000,0
0.734,0.0,0.2,0.04,-0.290,0.280,-9.410,0.00000,0
0.744,0.0,0.0,0.00,-0.300,0.270,-9.470,0.00000,0
0.754,0.0,0.0,0.00,-0.270,0.280,-9.390,0.00000,0
0.764,0.0,0.0,0.00,-0.320,0.310,-9.380,0.00000,0
0.774,0.0,0.0,0.00,-0.330,0.270,-9.340,0.00000,0
0.784,0.0,0.0,0.00,-0.320,0.260,-9.430,0.00000,0
0.795,0.0,0.0,0.00,-0.320,0.220,-9.460,0.00000,0
0.805,0.0,0.0,0.00,-0.290,0.250,-9.420,0.00000,0
0.815,0.0,0.0,0.00,-0.280,0.250,-9.400,0.00000,0
0.825,0.0,0.0,0.00,-0.310,0.250,-9.390,0.00000,0
0.835,0.0,0.0,0.00,-0.310,0.280,-9.410,0.00000,0
0.845,0.0,0.0,0.00,-0.260,0.270,-9.450,0.00000,0
0.855,0.0,0.0,0.00,-0.260,0.270,-9.490,0.00000,0
0.866,0.0,0.0,0.00,-0.270,0.290,-9.380,0.00000,0
0.876,0.0,0.0,0.00,-0.310,0.220,-9.430,0.00000,0
0.886,0.0,0.0,0.00,-0.280,0.240,-9.410,0.00000,0
0.896,0.0,0.0,0.00,-0.280,0.240,-9.410,0.00000,0
0.906,0.0,0.0,0.00,-0.330,0.230,-9.500,0.00000,0
0.916,0.0,0.0,0.00,-0.250,0.240,-9.420,0.00000,0
0.926,0.0,0.0,0.00,-0.290,0.270,-9.310,0.00000,0
