Timestamp_sec,Throttle,Brake,Steer,AccX,AccY,AccZ,Distance_km,TrafficSignal
0.000,38.0,0.0,0.00,-0.290,0.610,-9.400,0.00000,0
0.010,38.0,0.0,0.00,-0.560,-0.620,-9.390,0.00000,0
0.020,38.0,0.0,0.00,-0.380,0.670,-9.290,0.00000,0
0.031,38.0,0.0,0.00,-0.430,0.360,-9.240,0.00000,0
0.041,37.8,0.0,0.00,-0.160,-0.370,-9.220,0.00000,0
0.051,37.8,0.0,0.00,-0.130,0.710,-9.850,0.00000,0
0.061,37.8,0.0,0.00,-0.390,0.020,-9.890,0.00000,0
0.071,37.8,0.0,0.00,-0.510,0.330,-9.330,0.00000,0
0.081,37.8,0.0,0.00,-0.520,0.390,-9.240,0.00000,0
0.091,37.8,0.0,0.00,-0.240,0.350,-8.700,0.00000,0
0.102,37.8,0.0,0.00,0.180,0.430,-9.920,0.00000,0
0.112,37.8,0.0,0.00,0.180,0.430,-9.920,0.00000,0
0.122,38.0,0.0,0.00,-0.330,-0.040,-8.990,0.00000,0
0.132,38.0,0.0,0.00,-0.330,-0.040,-8.990,0.00000,0
0.142,38.0,0.0,0.00,-0.120,0.750,-9.450,0.00000,0
0.152,38.4,0.0,0.00,-0.320,0.110,-9.560,0.00000,0
0.163,38.2,0.0,0.00,-0.130,0.550,-9.450,0.00000,0
0.173,38.2,0.0,0.00,-0.400,-0.270,-9.540,0.00000,0
0.183,38.4,0.0,0.00,-0.060,0.770,-9.060,0.00000,0
0.193,38.4,0.0,0.00,-0.490,-0.090,-9.710,0.00000,0
0.203,39.4,0.0,0.00,-0.120,0.320,-9.540,0.00000,0
0.213,39.4,0.0,0.00,-0.250,0.530,-9.310,0.00000,0
0.224,39.8,0.0,0.00,-0.220,-0.810,-9.000,0.00000,0
0.234,39.8,0.0,0.00,-0.400,1.110,-9.550,0.00000,0
0.244,39.8,0.0,0.00,-0.220,0.060,-9.850,0.00000,0
0.254,39.8,0.0,0.00,-0.530,-0.040,-9.480,0.00000,0
0.264,39.8,0.0,0.00,-0.320,0.550,-9.340,0.00000,0
0.275,39.8,0.0,0.00,-0.140,-0.040,-8.940,0.00000,0
0.285,39.6,0.0,0.00,-0.280,-0.370,-9.660,0.00000,0
0.295,39.6,0.0,0.00,-0.060,0.540,-9.180,0.00000,0
0.305,40.0,0.0,0.00,-0.340,0.140,-9.660,0.00000,0
0.315,40.0,0.0,0.00,-0.590,0.370,-9.300,0.00000,0
0.325,39.8,0.0,0.00,-0.300,0.110,-9.630,0.00000,0
0.336,39.8,0.0,0.00,-0.170,-0.020,-9.850,0.00000,0
0.346,39.6,0.0,0.04,-0.300,0.680,-9.270,0.00000,0
0.356,39.6,0.0,0.04,-0.470,-0.120,-9.560,0.00000,0
0.366,40.0,0.0,0.00,-0.420,0.660,-9.370,0.00000,0
0.376,36.8,0.0,0.00,-0.420,0.660,-9.370,0.00000,0
0.386,36.8,0.0,0.00,-0.260,-0.380,-10.040,0.00000,0
0.397,36.8,0.0,0.00,-0.080,0.160,-9.820,0.00000,0
0.407,36.8,0.0,0.00,-0.420,0.310,-10.180,0.00000,0
0.417,36.8,0.0,0.00,-0.340,0.030,-9.150,0.00000,0
0.427,40.0,0.0,0.00,-0.330,-0.050,-8.260,0.00000,0
0.437,40.0,0.0,0.00,-0.460,0.460,-9.010,0.00000,0
0.447,43.8,0.0,0.00,-0.570,0.880,-9.710,0.00000,0
0.458,43.8,0.0,0.00,-0.620,0.560,-10.470,0.00000,0
0.468,45.0,0.0,0.00,-0.660,0.510,-9.230,0.00000,0
0.478,45.0,0.0,0.00,-0.440,0.620,-8.530,0.00000,0
0.488,44.8,0.0,0.00,-0.410,0.380,-9.520,0.00000,0
0.498,44.8,0.0,0.00,0.010,0.060,-9.800,0.00000,0
0.509,44.0,0.0,0.00,-0.010,0.130,-9.620,0.00000,0
0.519,44.0,0.0,0.00,0.130,0.160,-9.570,0.00000,0
0.529,41.8,0.0,0.00,-0.070,-0.060,-9.290,0.00000,0
0.539,41.8,0.0,0.00,-0.080,-0.010,-9.070,0.00000,0
0.549,41.0,0.0,0.00,0.030,0.260,-9.380,0.00000,0
0.560,41.0,0.0,0.00,-0.230,0.520,-9.340,0.00000,0
0.570,40.4,0.0,0.00,-0.390,0.220,-9.810,0.00000,0
0.580,40.6,0.0,0.00,-0.490,0.250,-9.510,0.00000,0
0.590,39.8,0.0,0.04,-0.480,0.070,-9.250,0.00000,0
0.600,39.8,0.0,0.04,-0.250,0.110,-8.870,0.00000,0
0.610,38.4,0.0,0.00,-0.490,0.150,-9.210,0.00000,0
0.621,38.4,0.0,0.00,-0.430,0.240,-9.670,0.00000,0
0.631,37.6,0.0,0.00,-0.460,0.430,-9.510,0.00000,0
0.641,37.6,0.0,0.00,-0.460,0.430,-9.510,0.00000,0
0.651,37.8,0.0,0.00,-0.320,0.470,-9.100,0.00000,0
0.661,37.8,0.0,0.00,-0.480,0.270,-9.400,0.00000,0
0.671,37.8,0.0,0.00,-0.600,0.350,-9.610,0.00000,0
0.682,37.4,0.0,0.00,-0.470,0.450,-9.650,0.00000,0
0.692,37.4,0.0,0.00,-0.450,0.100,-9.400,0.00000,0
0.702,37.4,0.0,0.00,-0.510,0.250,-9.400,0.00000,0
0.712,37.4,0.0,0.00,-0.360,0.260,-9.150,0.00000,0
0.722,37.6,0.0,0.00,-0.320,0.050,-9.210,0.00000,0
0.732,37.6,0.0,0.00,-0.140,0.180,-9.400,0.00000,0
0.743,37.6,0.0,0.00,0.030,0.250,-9.610,0.00000,0
0.753,37.6,0.0,0.00,-0.250,0.310,-9.630,0.00000,0
0.763,37.4,0.0,0.00,-0.310,0.380,-9.550,0.00000,0
0.773,37.4,0.0,0.00,-0.510,0.220,-9.330,0.00000,0
0.783,37.6,0.0,0.00,-0.390,0.220,-9.170,0.00000,0
0.793,37.8,0.0,0.00,-0.100,0.060,-9.400,0.00000,0
0.804,37.8,0.0,0.00,-0.430,0.250,-9.590,0.00000,0
0.814,38.0,0.0,0.00,-0.430,0.250,-9.590,0.00000,0
0.824,38.0,0.0,0.00,-0.270,0.190,-9.310,0.00000,0
0.834,37.8,0.0,0.00,-0.230,0.220,-9.370,0.00000,0
0.844,37.8,0.0,0.00,-0.100,0.240,-9.490,0.00000,0
0.854,38.0,0.0,0.00,-0.130,0.410,-9.480,0.00000,0
0.865,38.0,0.0,0.00,-0.110,0.370,-9.340,0.00000,0
0.875,38.0,0.0,0.00,-0.230,0.240,-9.360,0.00000,0
0.885,38.0,0.0,0.00,-0.330,0.270,-9.490,0.00000,0
0.895,39.0,0.0,0.00,-0.310,0.220,-9.290,0.00000,0
0.905,39.0,0.0,0.00,-0.270,0.140,-9.420,0.00000,0
0.915,39.6,0.0,0.00,-0.040,0.670,-9.770,0.00000,0
0.927,39.6,0.0,0.00,-0.430,0.240,-9.420,0.00000,0
0.939,41.4,0.0,0.00,-0.240,0.480,-9.360,0.00000,0
0.950,41.4,0.0,0.00,-0.310,0.300,-9.180,0.00000,0
0.960,44.2,0.0,0.00,-0.470,0.170,-9.340,0.00000,0
0.970,44.2,0.0,0.00,-0.400,0.210,-9.720,0.00000,0
0.980,45.0,0.0,0.00,-0.230,0.270,-9.630,0.00000,0
0.991,45.8,0.0,0.00,-0.230,0.270,-9.630,0.00000,0
1.001,45.8,0.0,0.00,-0.300,0.160,-9.450,0.00000,0
1.011,45.8,0.0,0.00,-0.070,0.000,-9.210,0.00000,0
1.023,46.2,0.0,-0.97,-0.120,0.220,-9.680,0.00000,0
1.033,46.0,0.0,-3.34,-0.210,0.560,-9.720,0.00000,0
1.043,46.0,0.0,-3.34,-0.450,0.250,-9.590,0.00000,0
1.053,46.0,0.0,-3.34,-0.270,0.100,-9.440,0.00000,0
1.063,46.0,0.0,-6.27,-0.040,0.070,-9.150,0.00000,0
1.073,46.0,0.0,-6.27,-0.290,0.220,-9.080,0.00000,0
1.084,46.2,0.0,-8.92,-0.270,-0.030,-9.280,0.00000,0
1.094,46.2,0.0,-8.92,-0.280,0.250,-9.640,0.00000,0
1.104,46.4,0.0,-11.46,0.130,0.270,-9.640,0.00000,0
